"code","country","year","month","technology","value","group"
"DE","Germany","2020","1","Gas",5.696276,"Fossil"
"DE","Germany","2020","1","Coal",12.5654005,"Fossil"
"DE","Germany","2020","1","Oil",0.3393565,"Fossil"
"DE","Germany","2020","1","Hydro",0.8688025,"Renewable"
"DE","Germany","2020","1","Nuclear",5.81103575,"Nuclear"
"DE","Germany","2020","1","Wind",15.947724,"Renewable"
"DE","Germany","2020","1","Solar",1.09717575,"Renewable"
"DE","Germany","2020","1","Other Renewable",4.40146175,"Renewable"
"DE","Germany","2020","1","Other",0.33282075,"Fossil"
"DE","Germany","2020","2","Gas",4.03409275,"Fossil"
"DE","Germany","2020","2","Coal",7.401538,"Fossil"
